Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;5.5;5.7;6.9;6.9;6.9;6.7;7;6.8;8.6;8.3;9.1;8.8;8.8;;
Afghanistan;AFG;23;23.7;27.4;28.5;30.1;31.8;33.9;36.4;38;43.4;45;45.6;37.8;36.7;44.2;33.9;31.9;28.8;21.2;16.5;15.2;12.6;15.4;16.9;19.1;17.7;20.2;19.5;18.3;18.9;18.2;20;20;;
Angola;AGO;72.3;71.9;72.7;71.3;72.2;73.8;72.9;73.4;76.4;72.8;73.8;72.8;70.8;65.6;62.3;68.9;62.6;58.9;55.4;53;53.1;51.7;49;46.8;47.5;47.1;48.1;52.5;52.5;51;60.1;52.9;;;
Albania;ALB;25.5;33;46.8;51.1;51.4;50.6;51.6;55.9;49.9;42.6;41.4;39;35.8;33.7;35.8;36.8;31.6;32;35.8;37.1;37;35.8;39.9;41.1;38.6;38.5;39.4;36.9;37.8;40.1;44.4;41.9;;;
Andorra;AND;14.1;14.1;14.1;13.7;14.4;14.3;13.9;14;14.2;14.3;14.5;15.4;15.8;16.5;16.6;16.6;17.6;16.6;17;17.1;18.7;18.6;18.8;19.1;19.4;19;18.9;18;17.6;17.2;20.9;18.4;18.7;;
United Arab Emirates;ARE;0;0;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.3;0.7;0.9;1;;;
Argentina;ARG;8.6;8.4;9;9.7;10;10.2;8.6;9.7;9.6;8.8;9.8;11.5;11.6;10.8;9.3;9.6;9.2;7.7;7.7;8.6;8.8;8.8;8.6;8.9;9.8;9.4;9.4;10.4;10.5;10.7;9.8;9.2;;;
Armenia;ARM;2.1;2.3;6.7;12.9;17.8;9.3;12.5;10.1;9.4;8.4;7.2;5.4;8.9;9.8;8.7;6.5;7.7;7;6.4;7.8;9.4;8;6.6;6.8;7.1;10.7;13.2;12.6;11.1;10.3;8.4;9.1;;;
American Samoa;ASM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.4;0.4;0.4;;
Antigua and Barbuda;ATG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0.4;0.4;0.4;0.7;0.7;0.9;0.9;0.9;;
Australia;AUS;8;8.2;7.5;8.6;8.3;8.2;8.9;9.1;8.6;8.5;8.4;8.4;8.7;7.2;6.7;6.7;6.8;7;6.8;7.1;8.2;8.3;8.3;9.2;9.3;9.4;9.6;9.9;9.8;10.3;11.2;12.3;;;
Austria;AUT;25.2;24.5;26.2;26.4;25.7;25.7;24.1;24.9;24.5;26.5;26.4;25.5;24.7;22.6;23.2;24.4;26.6;29;29.7;31.3;31.1;31.6;34.4;34.6;35.7;34.8;34.6;34;34.1;34;35.8;36;;;
Azerbaijan;AZE;0.7;0.8;1.2;2;1.5;1.4;1.7;2;2.5;2.1;2.1;1.8;2.4;2.9;3.1;3.4;2.9;3.8;3.1;3.3;4.4;3.5;2.8;2.5;2.1;2.3;1.9;1.9;1.9;1.7;1.3;1.3;;;
Burundi;BDI;94.6;93.5;94.3;94;93.9;93.7;93.5;93.4;93.2;93.8;93.2;94.7;94.6;95.8;96;96;95.3;95.3;95;94.6;93.2;92.1;91.7;90.8;91.3;91.2;89.6;88.2;85.7;84.8;83.4;83.1;83;;
Belgium;BEL;1.3;1.2;1.2;1;0.9;1.3;1.2;1.1;1.3;1.4;1.4;1.6;1.7;1.9;2;2.5;2.9;3.4;4;4.9;6.2;6.7;7.7;8.3;9.1;9.4;9.2;9.7;10.7;10.2;12.3;11.7;;;
Benin;BEN;93.7;95;94.8;95;95;94.8;84.2;80.6;79.6;76.9;70.3;66.9;64;61.7;60.7;59.2;57.3;54.5;54.8;52.8;47.2;48.7;50.3;52;51;49.9;45.4;45.4;44;46.5;46.2;54.5;;;
Burkina Faso;BFA;86.3;86.1;86.4;86.3;86.2;86.4;85.8;85.2;84.1;83.1;83.9;81.7;81.8;80.8;82;85.4;84.8;82.9;83.5;83.3;82.1;81.4;79.2;78.7;78.9;78.8;77.1;74.6;73.7;72.7;73.1;71.2;71.4;;
Bangladesh;BGD;71.7;73.1;71.6;70.5;69;63.8;62.1;60;60.2;60.5;60.2;55.9;54.4;52.6;52;50.6;48.6;47.2;45.2;43.1;40.3;38.4;37.3;37;35.4;33.1;30.2;28.1;27;26.1;27.2;25;;;
Bulgaria;BGR;1.8;2.2;2.6;2.4;2.3;3;3.5;3.8;5.8;6.6;8;7.2;8.7;9.2;9.6;9.8;10;8.8;9.9;11.6;14.3;13.2;15.6;18.2;17.1;17.9;17.7;17.1;19.6;19.3;21.1;20.4;;;
Bahrain;BHR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Bahamas, The;BHS;0;0;0;0;0;0;0;0;0;0;0;0.4;0.4;1.5;1.6;1.7;2;3.5;2;1.5;1.3;1.4;1.4;1.4;1.4;1.4;1.2;1.1;1.1;1.1;1.4;1.1;1.1;;
Bosnia and Herzegovina;BIH;7.3;8.8;11.6;14.6;33.4;33.2;32.9;27.6;26.7;28.4;19.4;20.3;21.2;20.1;20.1;19.7;18.1;14.8;14.3;17.4;19.6;14.2;15.3;19.5;23.6;25.2;23;18.5;35.4;36.8;37.7;36.6;;;
Belarus;BLR;0.9;1;1.2;1.4;2.3;2.8;3.5;3.8;4.1;4.5;5.7;6.3;6.5;6.2;6.3;6.8;7.2;7.3;7.1;7.4;7.3;7.5;7.2;7;6.7;6.8;6.7;7.3;7.2;7.8;8.4;8.2;;;
Belize;BLZ;38;32.4;36.3;35.6;34.1;34.9;42.7;36.7;35.3;35.9;34.5;23.9;25.7;24.4;26.3;25.6;32.7;28;29.8;25.1;29.4;42.2;47.9;38;37.4;30.3;33.3;37.2;35.5;30.4;31.4;26.6;30.8;;
Bermuda;BMU;0;0;0;0;0;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.4;0.4;0.4;1.5;0.4;0.6;1.1;0.6;0.7;0.8;0.9;0.9;0.9;;
Bolivia;BOL;37;38.1;36.9;36.9;35.2;33.2;32.4;32;30.6;30.8;29.2;29;28.1;27;25.8;24.6;23.7;22.1;21.3;20.6;19.9;18.1;17.4;16;15;14.2;13.6;14.3;14.3;13.5;16.9;12.8;;;
Brazil;BRA;49.8;48.9;48.7;48.2;48.3;46.1;44.5;43.7;43.8;44;42.7;41.3;42.9;45.1;45.2;46.1;46.7;47.2;47;48.9;46.8;45.2;43.5;42.3;41.7;43.7;45.4;45.3;46.9;47.5;50;46.5;;;
Barbados;BRB;17.5;16.9;15.7;14.2;13.8;14.4;15.2;14.3;10.6;11.3;11.9;10.8;9.8;8.6;8.7;8.7;8.8;8.6;7.6;8.5;8.2;4.1;3.8;3.1;3;3;2.8;4.3;4.9;3.4;4.7;5.5;5.5;;
Brunei Darussalam;BRN;0.7;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
