Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;171,3620981;175,3441296;168,781911;163,2673599;164,5590143;145,0728795;140,3911086;133,2307714;132,7942913;132,4309298;145,0502801;141,0426267;139,9723095;139,1101498;137,5565759;135,4646547;154,4377869;156,6451972;161,8912803;162,8820521;145,8336633;142,2397634;143,8042955;145,2135524;145,3435727;124,1372672;147,0155771;172,8841717;169,7982826;
Africa Eastern and Southern;AFE;41,23043881;39,73472806;40,40942725;42,82686607;45,34295525;47,40893641;47,10150192;44,9825564;46,58620564;44,82493621;46,4662178;47,85378199;59,42482008;56,79230438;57,83405618;60,35136644;60,86342631;66,8260114;74,41619994;63,7968822;63,47816046;64,63835882;62,44503929;62,58776081;61,01546205;55,59722375;52,8916428;52,62034059;55,54701362;52,60904544;50,38405324;55,64409433;58,64228728;56,99858271;54,11740756
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,70989455;51,41171637;72,88546961;67,58466515;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;105,3017426;103,9012296;103,5799471;106,5909621;94,62515933;108,0600679;121,3647085;122,4461441;104,1236353;99,98250633;91,80009734;86,81193276;79,33292278;62,88851609;53,37015807;52,25682223;66,37801333;57,82953812;65,94202893;74,46449859;69,69107051;67,00179328;62,29591877
Albania;ALB;39,4369634;36,07052006;108,7854722;80,51833277;53,10258474;40,13869895;44,41178201;44,72937806;47,1306267;49,89541841;61,60926104;64,24744626;65,99146503;64,8232151;65,03793832;69,11629266;72,20190895;79,91190089;75,24854728;73,32135756;75,53253297;80,69899853;76,96835832;75,75061856;75,02120231;71,27944766;74,01445045;76,78738179;75,69407837;75,38212893;59,52071189;75,59032173;84,6980571;82,49368256;79,07075977
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;64,46598932;68,0462111;63,22332824;59,07648546;57,63286543;61,2393921;60,71012843;68,78579965;67,28940067;67,31321855;72,01320139;73,22578749;73,51966997;80,17857909;84,50680772;88,64571645;88,94087196;92,9395641;96,75734782;88,78404998;85,90015219;88,75040865;90,25871691;89,29795764;87,1740681;82,44414232;76,86120837;80,25104903;80,59966492;79,98516961;75,08922197;79,92741546;87,2777227;86,79232957;
United Arab Emirates;ARE;;;;;;;;;;;;89,86457993;93,07165881;102,3001695;116,6226125;119,5528716;119,4706696;136,7981529;148,513544;153,4619444;138,8920969;147,392662;159,9704706;161,1004825;163,687585;169,4762367;170,9768292;170,9208069;159,6427773;170,0681188;185,2805524;186,1089326;188,9454617;202,332536;
Argentina;ARG;14,990859;13,75305416;14,73098059;16,22315145;18,13434587;19,77142309;21,50646841;23,33617884;23,35002797;21,38274496;22,62244478;21,85225545;41,75272436;40,64474803;40,69264611;40,55127097;40,43347987;40,94517062;40,40267338;34,05712691;34,97101326;35,206155;30,52654237;29,333929;28,40679365;22,48622609;26,09388785;25,28960114;30,76253595;32,63061505;30,20369881;33,07868957;31,54770801;26,64051213;28,15940143
Armenia;ARM;81,33571855;100,8658552;101,0767594;107,9731463;112,4293646;86,11485707;79,22956012;78,54774505;71,84245188;70,56047914;72,23333023;69,86426639;73,98450184;80,0513676;73,07063399;70,13973858;61,03013798;56,97504709;54,54232796;57,27423574;64,64297597;69,43557366;75,96167596;77,55504816;75,77886696;71,68207434;76,07796746;87,20237654;92,47310702;96,11415413;69,48880754;79,66988882;101,4107783;119,714643;152,1402291
American Samoa;ASM;;;;;;;;;;;;;210,9375;207,4427481;202,3575639;223,2;229,8174442;218,1467181;249,8214286;161,3333333;157,9406632;157,5438596;176,40625;173,8244514;174,8055988;162,4071322;159,1654247;161,4379085;171,8309859;156,568779;154,368932;136,8;124,684271;;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;141,5461611;130,0715499;132,0259179;127,6643236;130,6551527;137,5377836;94,28952989;101,0749606;117,7035278;;
Australia;AUS;32,15271446;32,18918841;33,04455679;35,39953492;36,45880883;37,70404521;38,23305335;37,98083228;39,99270246;39,02979542;40,93521098;44,2187045;41,4490922;40,20156691;37,00961359;39,16074697;41,55944717;42,00802003;42,8467764;45,74086303;40,52158899;41,85113203;43,1642965;41,27287902;42,48402303;41,66393193;40,97407948;42,20373168;43,73606508;46,18750189;44,66445607;40,30248027;45,82177023;49,22518406;47,31422901
Austria;AUT;71,76948195;70,32385669;67,89610882;63,51382704;66,24657391;68,52500575;70,4693163;75,24447603;77,34952166;78,56293298;85,84260773;87,99625672;87,58449371;86,88222632;91,47422019;94,67475478;98,78572532;101,3649584;102,7437044;87,6004931;99,64488255;105,7750984;105,8407914;104,985374;104,49674;103,1175817;101,5734946;105,5560668;108,37797;108,2072849;99,94821411;111,0322687;124,3834515;116,8139194;110,5354624
Azerbaijan;AZE;83,08321965;86,86377246;140,7999834;133,4904459;55,34931946;85,89371075;80,84974017;82,07896653;77,2278091;69,82596488;78,54856828;78,81518549;92,81814433;107,5519485;121,5071159;115,8418846;105,2623998;96,64180815;89,24289686;74,74404168;74,98598846;80,50804501;78,26306954;74,67584476;69,4832252;72,60150791;90,07731873;90,40231568;91,67257654;85,81814541;72,01786765;76,28686569;86,98227325;83,53588612;82,68986916
Burundi;BDI;35,64813955;38,42256048;38,22613141;36,5429966;38,75352358;40,20462641;21,57372227;24,27537923;27,44002999;23,53974528;22,55372449;20,96404561;21,67382941;27,37631208;31,57611818;35,09999884;42,4;38,79999877;47,19999958;35,80000356;39,5000054;43,00000284;43,70537319;46,60407909;42,99502581;22,83828342;23,04372526;22,2402931;26,59970246;29,02621;26,77333;28,81866;28,31532036;29,73697231;
Belgium;BEL;121,4678511;118,5901377;115,0692875;109,012737;113,2323;116,3785678;119,2127758;125,6889401;124,7091226;125,1699905;142,2301351;139,5768398;136,0851495;132,7155528;136,9184053;144,5290507;149,5675093;152,4684469;161,0884478;135,1384057;150,1625636;160,7655169;160,3833014;157,5736228;158,571611;155,068682;159,0576966;166,9040782;168,2776929;165,4654789;156,9501213;177,3818924;191,9394441;168,9610094;158,4529497
Benin;BEN;45,72018215;51,34471684;56,7407458;55,38179913;64,40047925;63,80014001;56,51779145;58,71162961;59,5936253;54,39178915;47,3481515;48,25717064;43,76842254;41,61623056;39,90297434;39,09593119;39,77469871;49,11378415;47,77535927;44,70262906;51,43085995;47,21702881;50,73673678;59,20019183;65,26827494;56,75631318;58,98692834;61,47659696;61,79519449;63,68133231;44,83323338;48,05486083;44,38159289;44,66313082;40,63980224
Burkina Faso;BFA;35,42265044;33,79623643;28,37401638;29,62508395;39,22922224;40,74747142;38,18029777;37,41641878;40,93978358;35,25481578;35,12294197;31,65817081;31,31252285;30,36823641;35,4809436;34,17216977;35,10654236;33,77971729;35,38531698;40,29598367;49,07323854;57,4972531;61,23860798;64,0358513;58,82356249;59,08918131;57,8931728;59,2687802;60,59562562;60,40869288;60,73977864;62,42035866;64,84387392;64,82232112;63,42834662
Bangladesh;BGD;18,96650201;18,88982689;19,9340055;23,12158307;22,86586455;28,20949608;26,07608772;26,32551339;27,8800634;28,38794056;29,32171436;32,09801707;28,96738072;27,6578849;26,85823415;34,39693486;38,11192443;39,94238265;42,62091403;40,09279622;37,80284267;47,42084984;48,11092275;46,29640272;44,5140802;42,08599631;31,33415013;29,99973067;32,51463172;31,57805449;26,27144738;27,7240047;33,77996727;30,98297141;26,77807634
Bulgaria;BGR;69,84706085;82,68238762;100,0498008;84,04148545;90,72012938;55,262735;85,82079145;86,46373647;77,04520303;90,07496166;77,74570416;79,08136875;75,26961101;79,01388537;93,06389796;99,71421121;111,0474628;123,5325577;124,6887475;92,6926456;103,3805223;117,4181039;123,9713227;129,688683;130,2483771;126,7366422;122,8055144;129,634429;128,8655653;125,0299631;110,3240811;121,1573546;138,8401468;119,6681203;109,2888408
Bahrain;BHR;184,8288047;158,8677966;159,2918983;144,7630456;136,4734709;134,0867323;144,3334505;130,672449;113,001419;124,7357372;135,8091353;127,0262663;131,1336342;128,0915822;140,73731;148,3135251;147,1041811;137,7850506;145,8825111;117,9637254;115,5614864;167,529641;178,8240208;184,5895088;168,5758581;147,9160602;132,8229979;136,4292398;144,0753726;135,4175434;135,460985;153,7993165;167,1412412;157,4478547;
