Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;51,9;;;;;;;;42,7;;;;;;;;;;51,3;;;;;;
Albania;ALB;;;;;;;27;;;;;;31,7;;;30,6;;;30;;;;29;;34,6;32,8;33,7;33,1;30,1;30,1;29,4;;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;32,5;;;;;26,4;;;;;;
Argentina;ARG;;46,8;45,5;44,8;45,9;48,9;49,5;49,1;50,7;49,8;51;53,3;53,8;51;48,5;47,8;46,4;46,3;45;43,8;43,7;42,7;41,4;41,1;41,8;;42,3;41,4;41,7;43,3;42,7;42,4;40,7;42,4;42,4
Armenia;ARM;;;;;;;44,4;;;36,2;;35,4;34,8;33;37,5;36;29,7;31,2;29,2;28;30;29,4;29,6;30,6;31,5;32,4;32,5;33,6;34,4;30;25,1;27,9;27,9;27,2;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;;;;;;32,6;;;;;;33,5;;33,5;33,1;;;;35,4;;34,7;;;;34,4;;33,7;;34,3;;33,8;;;;
Austria;AUT;;;;;30,8;29,9;29,3;29,1;31,3;29,7;29;;;29,5;29,8;28,7;29,6;30,6;30,4;31,5;30,3;30,8;30,5;30,8;30,5;30,5;30,8;29,7;30,8;30,2;29,8;30,7;30,9;31,2;
Azerbaijan;AZE;;;;;;34,6;;;;;;36,5;25,3;26,8;26,6;26,6;;;;;;;;;;;;;;;;;;;
Burundi;BDI;;;33,3;;;;;;42,1;;;;;;;;33,4;;;;;;;38,6;;;;;;;37,5;;;;
Belgium;BEL;;;24,9;;;28,4;;26,8;;;33,1;;;28,1;30,5;29,3;28,1;29,2;28,4;28,6;28,4;28,1;27,5;27,7;28,1;27,7;27,6;27,4;27,2;27,2;26;26,6;26,4;26,8;
Benin;BEN;;;;;;;;;;;;;;38,6;;;;;;;;43,4;;;;47,6;;;37,9;;;34,4;;;
Burkina Faso;BFA;;;;;48;;;;49,9;;;;;43,3;;;;;;39,8;;;;;35,3;;;;43;;;37,4;;;
