Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;;;;;;;97,55653381;100,163063;101,9290695;100,9409409;99,20535278;99,86575317;106,2364731;97,06275177;99,16021729;98,22074127;96,63391876;108,9761887;;;;;;137,8297882;139,3205872;135,1247253;123,6259079;131,8021698;;124,3793667
Africa Eastern and Southern;AFE;24,21892929;24,61758995;24,41925049;24,69548988;25,00560951;25,78948021;26,1036396;26,47521019;27,33436966;27,56911087;27,73712921;28,78911018;29,47545052;30,09843063;31,55101967;32,55533981;34,0642395;35,4449501;36,85554886;37,96147156;38,86486053;39,49150848;40,51205826;41,13523102;42,2156601;42,26185989;42,68149948;43,25408936;43,5594101;44,12873077;44,68255997;45,15053177;45,28162003;45,15539169;45,6060791
Afghanistan;AFG;11,03954983;17,18361092;;17,41691017;23,46858025;23,05451965;;;;;;14,04041004;;13,95952988;19,21438026;20,27350998;29,52388954;28,81549072;38,93085098;44,29994965;50,44062042;52,44742966;54,37285995;54,88336945;54,29365158;53,15010834;53,43503952;55,53643036;57,35784912;;;;;;
Africa Western and Central;AFW;20,46256065;20,55574989;20,67947006;20,73060989;20,79322052;20,87916946;20,92387009;20,90665054;21,04438019;21,30467987;22,33913994;23,98139954;25,36926079;27,13608932;28,77067947;29,56111908;29,86532974;30,10156059;32,61772156;35,17958069;38,32843018;40,17168045;41,64577866;46,42559052;42,51173019;43,70893097;42,30617905;42,43317032;42,71456146;43,90626907;44,73434067;45,56742859;45,63729858;46,44224167;46,30049133
Angola;AGO;9,642069817;10,17319965;11,44104958;;;;;;11,89748001;11,77089024;13,36907005;15,00133991;16,14959908;;;;;;22,79902077;24,33201981;28,21080388;29,68695178;;;;;54,41679873;;;;;53,13515427;;51,48390462;
Albania;ALB;;;;;;;;;;;;;74,53891754;77,75182343;78,98018646;82,97142792;84,32576752;86,21885681;87,83383942;89,3157196;93,68182373;95,47052765;97,60861206;102,9032095;103,3213775;102,4407293;99,17075505;97,57436975;98,82238786;99,01515357;95,92944745;97,66503303;97,32247147;96,13687712;108,3553925
Andorra;AND;;;;;;;;;;;;;82,63851929;83,00415802;79,75460052;86,06632996;85,28627777;82,71604919;82,46253204;82,94129944;85,4886322;86,19689178;87,2305069;86,79360962;88,97815704;91,29621887;94,65241241;95,10903931;95,9804306;96,57433319;97,15003967;98,04042053;98,50987244;99,50865173;101,9238205
Arab World;ARB;54,05173874;54,13235092;53,15660095;53,59552002;55,2493782;55,24271011;54,65542984;55,85905838;57,25006104;58,14334106;59,21628189;60,49085999;61,22610855;62,7699585;64,07569122;63,4458313;63,52135849;62,47673035;62,59553909;64,51992035;64,95104218;66,71864319;67,12837219;65,34269714;65,73182678;66,15454102;66,45999908;66,93504333;67,05548859;67,38007355;67,28217316;68,00124359;69,45613861;68,65254211;68,89454651
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,1844482;101,7473443;99,16354008;103,2106633;102,3809814;101,9449724;102,1297249
Argentina;ARG;72,95556641;74,13126373;;;70,86775208;;78,49260712;74,47727966;80,65203094;92,29046631;96,21411896;97,62404633;96,99656677;96,04644775;95,45755768;93,63767242;92,40757751;92,18740845;93,18321991;96,4056778;99,07099915;100,8845596;102,7099915;104,540863;106,0389023;107,5048676;109,5983276;110,3778;109,6712418;110,4601517;112,3767319;115,7357788;114,1481171;105,5745843;
Armenia;ARM;;92,28215027;89,998703;91,99806213;91,673172;;82,20404816;80,22122192;68,45253754;71,05474091;86,05120087;86,78330994;;;88,65116119;92,05634308;95,26764679;96,81826019;96,53294373;102,9577637;107,7323914;94,87740326;;86,87219238;86,520401;86,44213867;;;83,02494108;86,8260633;88,50802982;91,48537351;91,71066099;89,41110276;90,94587141
American Samoa;ASM;90,3997879;92,40538788;93,45818329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;98,36755371;;;;;;;;80,20674896;;;;;;;112,227951;122,2615814;118,6823883;115,4667435;116,1853714;117,228363;;115,2704391;117,5577011;;117,2099304;121,6852493;;;;107,7999088;108,8807786;
Australia;AUS;;;;;;;;;;;;;;;;;;;;;;;;;;159,1107635;155,5943909;153,5761261;136,105545;144,0565643;137,4907379;135,5265656;133,2772675;134,0992432;
Austria;AUT;;;;;;;;;;;98,61234283;98,86086273;98,95127106;99,39745331;99,2856369;100,1994324;100,4166794;100,1025696;100,1261292;100,5940933;100,2639694;99,67295837;100,1087265;101,1732101;101,3048096;101,4115829;100,2279892;100,3378983;100,6925964;101,5436325;101,6905594;102,307663;101,4580002;100,5043716;
Azerbaijan;AZE;;;;;;;;;;;;;;;;;;;;;83,08531815;82,91762054;82,76227492;83,13765536;83,43866002;84,80985864;86,58569358;89,26251647;108,4887811;107,8639605;91,3655135;91,41063676;90,95303642;92,74029724;91,12280359
Burundi;BDI;4,603919983;5,194039822;5,529369831;6,100450039;;;;;;;;9,419989586;9,927399635;10,25634956;11,80930996;12,97706985;14,33810997;15,33611965;;20,89340019;23,76470947;26,79438019;29,57328987;34,21245073;40,26412587;43,93519298;47,47153428;48,22434873;46,33039417;41,83524175;44,91517174;;;;
Belgium;BEL;;;;;;;;;;;146,9197845;155,946167;157,6487732;158,8792267;151,638092;157,343399;158,6851044;159,4398956;160,468811;159,6615448;160,6604767;159,3493042;160,1105347;161,8458862;162,4219818;164,0798187;160,68927;158,6702881;156,5097656;156,635376;151,7275085;143,1635132;142,9180756;142,9602661;
Benin;BEN;;;;;;;;;;19,25670052;20,00053978;21,71043968;23,58466911;24,90011978;26,70414925;;;;;;;45,7294693;;52,03784943;52,59526825;55,13330841;55,29459;;;;43,98587036;44,2737999;43,56064987;;
Burkina Faso;BFA;6,788619995;7,12624979;7,331989765;7,737080097;8,05136013;;;;;9,299440384;9,855899811;10,03964043;;11,2848196;12,36769962;13,37232971;14,15445995;15,27937031;17,99473953;19,43535042;21,17802019;23,17643719;25,2399681;27,60088807;29,56687444;32,89313436;34,93362808;37,16275108;39,62784675;40,07704603;39,25400848;38,14803124;33,62128662;30,85512163;29,99057745
Bangladesh;BGD;19,88935089;;;;;;;;41,92987823;45,06745911;46,72100067;48,46097183;49,61994934;49,52590179;46,30842972;45,16950989;45,70079041;46,46588135;44,5729599;48,12557983;49,50311068;49,75154965;51,6718483;55,62143322;;59,42174149;64,16645461;62,34086392;65,27148888;65,11854135;66,43295485;66,82823186;67,03845864;65,98565986;64,2997191
Bulgaria;BGR;;;;;;;;;;;79,8759079;80,94407654;83,981987;88,11878204;90,53427124;91,36676788;92,41201019;93,15415955;92,38407135;92,52137756;94,18192291;96,43612671;95,39035034;100,7858124;104,9421997;103,8893433;103,0039215;103,4610214;104,0439224;102,6569366;101,3549423;98,70876312;96,67207336;95,6239624;
Bahrain;BHR;82,76528931;94,77388;94,14408112;91,75646973;90,8866806;90,103508;89,68965912;88,27416229;89,32608795;88,5614624;91,4384079;92,74672699;85,68901825;81,4129715;80,49240112;81,27992249;83,5526886;;89,02088928;90,12888336;90,19694148;93,29389909;98,47329148;107,6104726;104,2038469;100,3039148;100,5836493;100,9234129;100,7018874;102,1282819;;;103,393223;104,3929387;98,81391814
Bahamas, The;BHS;84,75727081;86,01300049;95,65399933;97,27044678;93,23574066;92,83078766;;90,33654022;;83,6602478;;;93,46595764;;85,45514679;86,31876373;86,5019989;89,35809326;89,31788635;89,02105713;91,08863709;89,2416369;92,18076285;84,65954078;91,62184048;76,04403388;85,06863274;92,61825851;80,88089293;78,56673438;;72,63818801;;87,14552405;79,48587503
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;;;;;;80,98944855;85,2279129;87,00093079;85,51837158;87,72799683;90,78530884;92,29839325;90,2868576;85,71617889;83,16995239;83,66808319;85,64099121;85,54013062;85,55911255;85,67614746;87,03739929;87,86637878;
Belarus;BLR;97,58364868;93,49874115;92,65151978;91,49121094;91,32147217;92,46649933;93,9261322;93,12956238;84,60178375;;;;;;;;;;115,7135925;113,7015381;111,0289985;108,9898674;107,6577864;104,5231241;103,5103512;102,895731;102,9690059;102,4808505;101,596011;100,4387442;100,5757104;100,4206392;99,06020329;97,4265999;94,79027029
