Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;12187.53636;13233.99052;13892.60514;14700.95981;16055.28779;16548.71739;16620.95456;17750.00956;18828.08706;19216.19724;20681.02303;20740.13258;21307.24825;21949.486;23700.63199;24171.83713;24845.65848;26736.30894;28171.9094;25134.77123;24093.14015;25712.3843;25119.66554;25813.57673;26129.83906;27458.22533;27441.52966;28440.05196;30082.12764;31096.20507;22855.93232;27200.06108;30559.53353;33984.79062;
Africa Eastern and Southern;AFE;822.7938675;864.5638653;733.2438556;709.6592549;701.0415515;766.8205908;747.0696739;767.6841922;697.3526716;670.6978292;707.1203777;626.1691498;625.9988162;809.9681405;981.7446316;1115.713957;1220.002469;1362.310652;1421.118613;1386.59025;1601.727651;1735.584923;1702.9691;1673.221102;1656.167709;1479.61526;1329.807285;1520.212231;1538.901679;1493.817938;1344.10321;1522.393346;1628.318944;1510.742951;1567.635839
Afghanistan;AFG;;;;;;;;;;;174.9309914;138.7068217;178.9540884;198.8711157;221.7636539;254.1842491;274.2185536;376.223152;381.733238;452.0537055;560.6215055;606.6946763;651.4171345;637.0870991;625.0549418;565.5697304;522.0822156;525.4697709;491.3372214;496.6025043;510.7870634;356.4962141;357.2611528;413.7578947;
Africa Western and Central;AFW;590.321435;603.8789102;563.3100794;570.8886382;577.5487394;863.9505706;1065.683499;1088.996805;1137.744496;521.3647343;516.9323163;530.6531678;616.7960326;694.5009376;840.2520851;1001.604607;1236.628127;1407.642058;1668.841082;1454.728331;1663.966937;1844.198595;1941.369556;2131.662067;2221.010665;1860.727694;1630.039447;1574.23056;1720.14028;1798.340685;1680.039332;1765.954788;1796.668633;1599.392983;1284.154441
Angola;AGO;965.8668405;881.9194881;668.7060175;449.7278949;334.9735903;404.2948185;531.1153665;521.7029149;429.1881269;392.725539;563.7337956;533.5862024;882.1478472;992.6989793;1266.210864;1916.468422;2617.05196;3141.04598;4103.0669;3136.64547;3597.342932;4615.910598;5086.027401;5057.747878;5005.999741;3213.902611;1807.952941;2437.259712;2538.591391;2189.855714;1449.922867;1925.874661;2929.694455;2309.53413;2122.08369
Albania;ALB;617.2304355;336.5869945;200.8522198;367.2792251;586.4161351;911.3204654;1020.976181;728.5455237;831.1753441;1056.344812;1160.420471;1326.416524;1479.838846;1908.699007;2446.909499;2741.721365;3057.77257;3743.055299;4498.504868;4213.650076;4149.144699;4465.709143;4222.347099;4420.23462;4602.230514;3981.726623;4168.375445;4614.047969;5365.488802;5460.430509;5370.7775;6413.282808;6846.426694;8575.171346;10011.62799
Andorra;AND;19563.65747;19533.26207;20099.53522;15916.83952;15748.53075;18443.25452;19130.15972;18247.99957;18536.50843;18875.28691;21810.24874;23511.29515;26528.13016;34063.5784;39021.12781;40829.80188;43467.21099;48336.22833;49132.51571;43975.01837;42746.83095;46657.15612;41500.54358;42470.31612;44369.65969;38654.93472;40129.8192;40672.99433;42819.77458;41257.80458;37361.09007;42425.69968;42414.05901;46812.44845;49303.67339
Arab World;ARB;2875.257142;2048.809755;1996.377565;1987.857714;2018.685785;2081.020689;2193.873309;2305.616061;2192.611888;2378.950491;2664.165796;2536.711965;2483.107234;2696.672305;3133.736877;3750.693517;4355.087622;4940.702265;6091.932064;5134.450061;5928.30536;6894.195368;7362.629909;7351.948113;7311.289969;6262.041685;6012.512444;6066.726791;6668.216728;6638.485415;5722.480995;6681.708952;7931.617893;7479.688091;7521.153309
United Arab Emirates;ARE;26709.99344;25690.96863;25648.27278;25032.78227;25472.63966;27003.20068;28323.16509;27982.7957;24889.42692;25855.8605;29865.50235;27745.17081;27753.60895;29659.54286;33376.71523;38719.31383;44342.60483;45854.73252;50054.17007;37803.06637;43696.67126;50789.05054;52034.47625;52023.5171;51381.40699;43534.99727;41326.40182;42340.59172;45689.857;44251.45414;37173.87541;43360.0211;49899.0653;49040.69475;49377.56434
Argentina;ARG;4315.334031;5709.247841;6789.996111;6931.855964;7437.562423;7357.616277;7663.212713;8146.7871;8218.992128;7705.542883;7637.014892;7141.475077;2569.699635;3320.477751;4242.020991;5067.653423;5869.38029;7185.251551;8944.110266;8150.23527;10260.13131;12704.28318;12949.71749;12963.67577;12233.14441;13679.6265;12699.96231;14532.50093;11752.79989;9955.974787;8535.59938;10738.01792;13935.68111;14187.48273;13858.20398
Armenia;ARM;635.3553275;572.7402609;356.35078;347.8706447;390.8799643;443.9248609;487.0686244;505.0358871;590.2399473;582.6698862;593.4505817;659.5889885;742.6511183;882.0301677;1130.087914;1557.484589;2041.652671;2962.702346;3777.668593;2820.592655;3041.344507;3349.553098;3511.563997;3680.166922;3852.118006;3512.393503;3524.424769;3869.053739;4196.005623;4597.228874;4268.680933;4685.179971;6571.974455;8125.273958;8500.605225
American Samoa;ASM;;;;;;;;;;;;;8972.696365;9197.661968;8958.428667;8831.26976;8745.166211;9231.372409;10030.80891;12156.02939;10375.17201;10383.45933;11745.48992;11813.5022;12026.33449;12727.41027;12843.33429;11863.68395;12552.05469;12886.13595;14489.25866;15236.16049;18017.45894;;
Antigua and Barbuda;ATG;7590.754424;7956.474309;8153.737863;8624.620168;9351.487538;9034.475529;9756.08718;10336.25916;10906.87854;11342.33492;12027.49498;11539.18251;11658.69499;12173.23199;13037.88958;14368.57088;16173.81363;18204.5124;18786.67431;16472.24785;15217.39508;14911.72751;15639.80781;15051.51136;15532.10621;16077.63408;16556.85518;16965.72883;18273.42707;18896.37218;15369.60823;17348.6007;20105.19891;21494.5474;23725.79037
Australia;AUS;18249.30145;18859.90746;18624.18773;17699.87649;18129.63531;20448.12197;22021.78391;23646.62305;21479.1142;20712.66978;21870.41597;19695.72974;20301.84317;23718.13385;30836.73068;34479.76793;36595.70715;41051.61207;49701.28178;42816.5674;52144.66547;62605.60046;68072.87323;68190.701;62544.08738;56739.02653;49888.04108;53901.71454;57196.42208;54972.70179;51791.54018;60607.77886;64997.01365;64835.91998;64407.48426
