Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;757039106.1;864301676;948994413.4;1065363128;1225810056;1305474860;1362067039;1508659218;1659776536;1680223464;1849411061;1839207486;1826138994;1990803464;2180507318;1881063631;2363943575;2293013743;2726393631;2465043408;2313385196;2391841397;2499117877;2563517263;2688102402;2838143911;2848406201;2921801006;3061556872;3242394134;2413701727;2824767104;3154132445;3332806321;
Africa Eastern and Southern;AFE;2.41862E+11;2.59749E+11;2.26634E+11;2.28472E+11;2.31187E+11;2.62227E+11;2.62047E+11;2.76966E+11;2.57955E+11;2.5379E+11;2.74733E+11;2.48656E+11;2.55753E+11;3.41643E+11;4.2585E+11;4.95999E+11;5.55229E+11;6.32618E+11;6.72456E+11;6.86505E+11;8.11047E+11;9.04113E+11;9.18411E+11;9.24748E+11;9.43317E+11;8.69689E+11;8.08595E+11;9.4553E+11;9.83792E+11;9.82519E+11;9.15225E+11;1.06108E+12;1.16104E+12;1.10816E+12;1.17625E+12
Afghanistan;AFG;;;;;;;;;;;3411145674;2824372441;3886746600;4582016676;5291642598;6280264337;7100373841;9877773214;10107195993;12378340931;15885775064;17781511431;19961261595;20209353658;20559672325;19249499439;18350475875;18961769787;18294513958;19080662011;20105156769;14346089108;14540297386;17234567720;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;5.37377E+11;4.81724E+11;5.63973E+11;6.41297E+11;7.0073E+11;7.91368E+11;8.69915E+11;7.56037E+11;6.83987E+11;6.72932E+11;7.54254E+11;8.10826E+11;7.8417E+11;8.33482E+11;8.63434E+11;7.83045E+11;6.43581E+11
Angola;AGO;10027408249;10603784541;3498025673;3237547175;1943279030;4771491965;5829658223;6730623908;5537455451;4780893222;7448734939;7375089141;13650936250;16086223621;21063493970;32940012223;46203157632;57667388175;74821117369;63484054939;75712612170;1.02092E+11;1.17631E+11;1.22756E+11;1.27709E+11;85895384573;50010057163;69161228470;73313113234;64488157749;44145038181;61051288256;96386998839;76811861843;73810626291
Albania;ALB;2026653750;1077859028;617074990.2;1219215469;1894750864;2948692799;3306167280;2343997478;2676876893;3359212262;3689222173;4185058645;4624119308;5952285932;7575939041;8418687429;9412746291;11414912598;13322942019;12143832417;11967076164;12978220498;12154401184;13017104309;13417705192;11605729213;12181255797;13290550121;15363144880;15383374390;14991621177;17782485810;18685946746;23246168340;26971002323
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3462352923;3268595544;3576595365;3525887959;3917942681;4213892003
Arab World;ARB;6.49924E+11;4.69297E+11;4.7295E+11;4.80543E+11;4.98796E+11;5.32196E+11;5.74236E+11;6.19085E+11;6.05967E+11;6.60475E+11;7.6394E+11;7.44582E+11;7.39789E+11;8.19769E+11;9.81197E+11;1.2034E+12;1.44722E+12;1.69177E+12;2.12627E+12;1.82741E+12;2.14314E+12;2.54691E+12;2.80203E+12;2.87374E+12;2.92974E+12;2.5819E+12;2.53923E+12;2.61532E+12;2.90841E+12;2.94886E+12;2.59176E+12;3.07915E+12;3.7297E+12;3.61456E+12;3.70384E+12
United Arab Emirates;ARE;54023555495;53067268837;55543310460;56568307273;60027340289;67623645519;74877992400;81394151648;79921625596;84382386767;1.09429E+11;1.08376E+11;1.10737E+11;1.24292E+11;1.48532E+11;1.83504E+11;2.26854E+11;2.66289E+11;3.19278E+11;2.56161E+11;3.00105E+11;3.60968E+11;3.8491E+11;4.00681E+11;4.14764E+11;3.72018E+11;3.71352E+11;3.93294E+11;4.28474E+11;4.20051E+11;3.47594E+11;4.14444E+11;5.02786E+11;5.1797E+11;5.38118E+11
Argentina;ARG;1.3515E+11;1.83857E+11;2.24521E+11;2.33744E+11;2.53743E+11;2.53363E+11;2.66648E+11;2.86641E+11;2.91542E+11;2.76059E+11;2.76656E+11;2.6097E+11;92763789033;1.22452E+11;1.46362E+11;1.76153E+11;2.24897E+11;2.79994E+11;3.52615E+11;3.22744E+11;4.09192E+11;5.15005E+11;5.33074E+11;5.40186E+11;5.15532E+11;5.83615E+11;5.45252E+11;6.272E+11;5.06094E+11;4.30167E+11;3.75344E+11;4.76802E+11;6.21165E+11;6.3273E+11;6.205E+11
