Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;0.505922166;0.48582996;0.429978118;0.407916806;0.383268482;0.018607536;0.018617487;0.018053934;0.018010582;0.017566258;0.017327777;0.017507704;0.017838596;0.016997399;0.019906853;0.020492088;0.020394903;0.021468749;0.01781746;0.014812973;0.012519788;0.018611768;0.02391857;0.02225303;0.027572683;;;;;
Africa Eastern and Southern;AFE;17.37384609;18.87397842;12.40207387;12.71095788;12.18728049;11.87889308;12.35541985;12.94633344;13.18585345;12.23476463;12.49957368;12.49984747;12.75503387;10.98835692;9.83708707;9.76088732;10.00056207;10.94502779;12.19148213;12.50784615;10.90613436;10.11303027;10.83928092;11.16805457;11.96402926;12.85457268;12.9910206;12.44645213;11.91313831;12.6263155;14.6429778;13.39199416;13.82812336;15.50590443;15.42165583
Afghanistan;AFG;;;;;;;;;;;;;38.62789186;37.41885544;29.72106714;31.11485491;28.63596858;30.10501136;24.89227001;29.29750105;26.21006854;23.74366399;24.39087363;22.81066274;22.13704137;20.63432272;25.74031404;26.42019908;22.04289675;25.77397074;29.97558252;33.59761887;33.70143232;34.74324714;
Africa Western and Central;AFW;24.2568714;24.26759328;24.14854618;24.06722923;25.13822041;25.55678927;25.56920137;26.39985604;27.04959857;23.70005968;20.80933607;22.95167858;29.81760674;27.68838546;23.79450601;23.33053178;22.31124255;22.02481965;22.60360802;23.68538314;22.14366156;20.54700075;20.37643002;19.63277294;19.1983092;20.17230404;20.59646967;20.35678293;20.54953493;20.75732206;22.46827911;21.72909442;22.10381479;21.20232446;20.431799
Angola;AGO;;;;;;6.653213722;7.026869166;9.002017942;12.91118241;6.290256828;5.664689564;8.156377022;5.839549975;6.198384502;6.250877905;5.060402948;5.191280189;5.242278337;4.805339338;6.621196764;6.180293498;5.84568088;6.069629991;6.50749232;7.547056779;9.122534372;9.83116886;10.01699597;8.607741802;7.882625069;9.946543571;11.48634538;13.7377885;14.89328441;16.42696069
Albania;ALB;;;;;;32.83744976;33.56166119;28.94131451;26.26104283;23.6225673;22.17901395;20.45240541;19.76391647;19.80762033;18.56307999;17.1247179;16.04157503;15.53254945;15.4221004;15.27922173;16.35860819;16.72022295;17.59136855;18.92481742;19.23775892;18.74716028;19.16719075;18.07907821;17.91555582;18.16039737;18.8061418;17.7932056;16.98447804;16.22256713;15.49801109
Andorra;AND;;;;;;;;;;;0.517055748;0.441953155;0.385887246;0.419117893;0.414741998;0.380576808;0.353522338;0.368796684;0.406917964;0.418928933;0.466508602;0.490560827;0.601164454;0.585558984;0.537623493;0.51342011;0.521999648;0.559538513;0.546367883;0.522633248;0.55944277;0.531844879;0.487491862;0.478492136;0.465923796
Arab World;ARB;10.4950147;12.22414819;8.862630963;9.012378438;9.958403365;9.242469723;8.951986383;8.467697396;9.354380675;8.414341611;7.343653545;7.800704505;7.820694818;7.45584764;6.617388888;5.826847226;5.599348239;5.605331059;5.084876846;6.147979937;5.704735763;5.141087778;4.661976972;4.777858348;4.995913088;5.640484598;5.448306383;4.998089158;4.641530924;4.815042309;5.61940936;4.892325681;4.330905407;4.930174677;5.30954117
United Arab Emirates;ARE;1.058428475;1.297768008;1.378621078;1.480901077;1.830425017;1.787068305;1.792431872;2.004021865;2.180890491;2.333245197;2.262650093;2.238200162;2.203322589;1.927683933;1.665361909;1.395409874;1.094244002;0.976671168;0.827305464;1.036886889;0.735025772;0.651421594;0.627943992;0.633172496;0.628716003;0.72367159;0.750862915;0.761757604;0.711464002;0.746712203;0.963890714;0.943418358;0.703347021;0.701206778;
Argentina;ARG;8.123676208;6.71649176;5.990787091;5.136826482;5.082668;5.351464616;5.610866113;5.221972109;5.25272257;4.457826102;4.679910944;4.568589609;10.20664671;10.32816694;8.36248661;7.938754274;6.935572291;7.452353946;7.318954597;5.273623469;7.132167451;6.99873377;5.781744207;6.052918437;6.712703514;5.156685902;6.26456582;5.231622377;4.537878897;5.318555997;6.357033676;7.291282496;6.638296975;5.929853762;5.981599306
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;17.91268195;18.43476288;18.07203635;17.22312003;16.39047353;14.99426012;13.94231166;11.52561074;11.34980516;11.34354842;10.14670393;8.481559899;7.924459893
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;1.599176815;1.582568976;1.584077412;1.517720931;1.353305051;1.395986389;1.359561101;1.427678094;1.367454031;1.353741406;1.289097344;1.28987886;1.361733715;1.360225324;1.241027899;1.329115563;1.23269847;1.179054416;1.130389502;1.1120312;1.214648813;1.415185263;1.377019461;1.484000402;1.441231857;1.445683176;1.458503753;1.660911511;1.626791912;1.646712046;2.278940657;2.080800048;1.955660323;1.943267807;
Australia;AUS;4.193445564;3.171197981;3.042903043;3.252601699;3.338069552;3.009603788;3.378836945;3.229410866;3.028816781;3.047569423;3.110428355;3.496880133;3.94502714;2.887407422;3.061605923;2.885864268;2.731033379;2.206014014;2.342092302;2.301098506;2.204440315;2.292396721;2.267817567;2.285478618;2.22073827;2.375990124;2.405553002;2.706446942;2.460037621;2.115780722;2.012249308;2.303839925;2.673227686;2.573502062;2.218165505
Austria;AUT;3.135033921;2.845696878;2.48336784;2.231427043;2.400577569;2.18502137;1.976498915;1.967026235;1.838467347;1.781025497;1.670896012;1.708255273;1.592234263;1.486930756;1.493176275;1.282394983;1.327517968;1.461963403;1.385041148;1.176553064;1.29288596;1.461306481;1.417681343;1.277849921;1.275558018;1.143628542;1.149282641;1.199902031;1.10911414;1.044634137;1.071381133;1.215938484;1.374751038;1.296970303;1.228933006
Azerbaijan;AZE;26.50068213;30.48278443;26.05962532;27.10955414;32.3456632;25.3444559;24.96157506;20.12791692;18.14799744;18.3995126;16.08486467;14.83745955;13.95463918;12.42566291;10.98801904;9.147534438;7.091037117;6.540082157;5.570891841;6.121933065;5.544566113;5.076225951;5.139769508;5.36626448;5.319406718;6.177638838;5.605111775;5.607369011;5.212380762;5.69538025;6.738947424;5.725983657;4.612208308;5.510588946;5.6571709
Burundi;BDI;51.05685018;48.59791032;48.00452171;47.16981169;40.73232545;42.02269313;53.38092151;42.42186415;44.53870405;47.63530413;44.10704011;43.84314206;43.33361124;42.8412837;41.90260497;40.84812339;40.63768227;34.93417192;38.0048233;36.72136414;38.43054529;36.704576;35.42003257;38.36740004;34.95819234;30.6846973;31.54433613;28.54664701;29.01190049;28.84439;28.62495;28.66022;27.56671464;25.34187423;
Belgium;BEL;;;;;;1.306623478;1.32831141;1.340821012;1.255675473;1.076235331;1.17600528;1.109350298;1.033134143;1.029444503;1.022910541;0.840639974;0.907269381;0.88752394;0.712338067;0.718679661;0.847918635;0.726239843;0.844574695;0.764565478;0.716518219;0.750617272;0.673190544;0.729532583;0.664625571;0.718789584;0.712818024;0.654899385;0.697006708;0.769218254;0.800819044
Benin;BEN;34.65494536;35.0437735;33.94190414;34.1194608;32.29399457;33.09015959;35.70530039;35.78193016;36.57664979;24.53433491;23.54123399;25.04816274;25.38272928;24.45398374;26.52084928;26.6894285;26.63180343;26.97108697;26.82615619;26.97895538;25.8411355;25.79700083;25.76897583;25.27540464;25.61845297;26.39208509;27.7536355;28.48901653;28.06477391;26.87580163;27.10917504;28.52895061;26.8966788;25.40197237;24.23172295
Burkina Faso;BFA;27.95002227;29.79326533;28.80981128;30.23105157;32.94777027;33.21721709;36.37917327;33.7387787;36.56355608;27.25228666;24.91403646;26.92043043;26.37244848;25.96097682;23.38143845;26.77091903;25.22897616;21.83948741;27.31428025;23.20484713;24.14338662;23.04365045;23.75600502;23.64109279;23.69377277;22.64649849;21.71471783;20.5863197;20.99747328;18.22052455;17.91516357;17.29021575;18.49671258;16.33445505;18.58771697
Bangladesh;BGD;30.4898331;31.67702324;30.51752524;27.32108582;26.72553755;27.3043698;23.26620805;23.24614375;22.58741576;22.65841112;22.71814808;21.84834058;20.58413442;19.8127183;19.26695957;18.57103955;18.03401651;17.80653678;17.59569554;17.10462905;17.00118126;16.80998676;16.17756317;15.493278;15.3516209;14.78299644;13.46479232;12.95727604;12.48007719;11.97532314;11.99968686;11.63285843;11.21760104;11.00369002;11.16480165
Bulgaria;BGR;17.74596502;15.39056743;11.61802789;9.93442623;11.49162861;9.218320939;9.592577335;20.47684372;13.41156426;12.95862434;10.97048236;10.60325324;9.710569628;9.09562775;8.452185377;7.283685729;6.096284921;4.651784892;5.869626922;4.23578566;4.032500762;4.661369068;4.430140024;4.515416945;4.55871705;4.061975774;4.05489853;4.043176898;3.396683202;3.196164805;3.43289246;4.326921155;3.71123769;2.517578651;2.065397028
Bahrain;BHR;;;;;;;;;;;;;;;;;0.268763501;0.29227169;0.264810237;0.337284357;0.285542784;0.279873968;0.265180259;0.264280047;0.287965784;0.301911232;0.315996685;0.277074646;0.275112317;0.268674382;0.303155114;0.268626041;0.246160469;0.251492807;
Bahamas, The;BHS;2.208528111;2.833734041;2.663010614;2.461287193;2.675084382;2.834149898;2.646910502;1.561818974;1.378559449;1.26759042;1.344646857;1.198629931;1.513315828;1.347224211;1.16175186;1.064435453;1.170424648;1.093391246;1.043131294;0.909640992;1.097490432;1.092304713;1.072721167;0.927897053;0.838487849;0.815199027;0.877037935;0.770472969;0.677109336;0.534759358;0.77582214;0.454432167;0.41448391;0.454447231;0.514754181
Bosnia and Herzegovina;BIH;;;;;35.85332285;20.69999851;20.70000031;17.51804573;15.96041002;13.26299203;9.001463763;9.120577403;8.873503628;8.105018425;8.583495058;8.297368254;8.054289273;7.70495341;7.207272012;7.076601635;6.796762159;6.757745396;6.137671554;6.841391127;5.951057699;6.037566951;6.16558905;5.431049985;5.718782491;5.450042181;5.914439906;5.019317881;4.826248394;4.653222125;4.254453799
Belarus;BLR;22.86374134;22.22222222;22.82608696;17.15736041;13.58961389;15.76649671;15.0985983;13.41793201;12.06176361;12.70055756;12.09682717;10.35042974;10.12843222;8.635627708;8.850251441;8.518590809;8.578727592;8.303169959;8.666253694;8.130898936;8.891930229;8.001887744;8.130942683;6.809092448;7.303056977;6.283207583;6.895280624;7.565802538;6.590107726;6.794668828;7.077239769;6.706618649;8.041818717;7.248599571;6.86597985
