Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;100;99.15365601;99.1971283;99.23991394;100;100;100;100;100;100;91.7;100;100;100;100;100;100;100;100;100;93.4;100;100;100;100;100;100;100;100;100;100;100;99.9;100;
Afghanistan;AFG;;;;;;;;;;;4.4;9.3;14.1;19;23.8;28.7;33.5;38.4;42.4;48.3;42.7;43.2;69.1;68;89.5;71.5;97.7;97.7;93.4;97.7;97.7;97.7;85.3;85.3;
Angola;AGO;;;;;;;;;;;24.2;20;26.3;27.4;28.4;29.4;30.5;37.5;38.5;33.8;35;34.6;37.3;38.4;32;42;41.8;42.9;45.3;45.6;47;48.2;48.5;51.1;
Albania;ALB;100;100;100;100;100;100;100;100;100;100;99.4;99.4;99.4;99.4;99.4;99.4;99.4;99.4;100;99.6;99.6;99.7;99.9;99.9;100;100;99.9;99.9;100;100;100;100;100;100;
Andorra;AND;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
United Arab Emirates;ARE;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
Argentina;ARG;92.15480042;92.4921875;92.82945251;93.16604614;93.50127411;93.83446503;94.16493988;94.49201202;94.81500244;95.13315582;95.7;95.5;96.1;96.3;96.5;96.7;97;97.2;97.5;97.8;98.8;99;99.1;99.3;100;99.7;99.9;100;100;100;100;100;100;100;
Armenia;ARM;;;;;;;;;;;98.9;100;98;99.1;99.1;99.8;99.1;99.2;99.2;99.3;99.8;99.5;99.5;99.4;99.7;100;99.8;99.7;99.9;100;100;100;100;100;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;95.76304626;95.94065094;96.11813354;96.29494476;96.47039032;96.64379883;96.81448364;96.98177338;97.14498138;97.30335236;97.7;97.7;100;97.9;97.9;92.2;100;100;100;98.5;98.7;94.6;100;100;100;100;100;100;100;100;100;100;100;100;
