Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;1121229050;1195530726;1264245810;1326256983;1377094972;1393586592;1346423464;1266650838;1282296089;1458098883;1606588827;1595335196;1742107263;1863013966;1606810056;1477511732;1839933520;1911810056;2088122905;2184551397;2158564246;2142859777;2243516760;2367134078;2486899441;1315200726;2072291788;2871730335;3223287654;
Africa Eastern and Southern;AFE;52249174202;51291828539;51962132243;54538398681;57750388135;66677967504;69626112123;70807867036;66864928464;65806053880;73509908269;71134441188;74439242801;90760984709;1,13729E+11;1,42717E+11;1,7162E+11;2,12658E+11;2,53742E+11;1,95361E+11;2,50751E+11;2,97205E+11;2,85487E+11;2,80986E+11;2,79925E+11;2,16247E+11;1,92768E+11;2,32995E+11;2,56174E+11;2,41593E+11;2,05739E+11;2,81014E+11;3,27246E+11;2,99372E+11;3,12046E+11
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2079570875;2045190335;2664599571;2890629761;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;8725779779;9676099610;13749775665;24225651510;33245117539;44319670721;64168423019;41310610391;51572807438;67822781239;71632968361;67158241200;60770402473;26926846081;14838933358;21373167720;32444713330;28919814316;18583150428;31753057845;46344761974;34656621950;30456566854
Albania;ALB;312500000;82300000;81519209,68;189399541,5;225407402,4;356444754,2;371808883;230303548,1;291949980,8;540977918,9;700083432,9;836717868,6;910729673,6;1169850276;1596261949;1853023798;2242665600;3016116393;3259293798;3040047670;3337086751;3769456502;3565050489;3694413300;3732057495;3104897799;3437126545;4110301306;4785182304;4821429218;3435540416;5613909458;7073859854;9104536341;9813761314
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;;;;;;;;;;;;2,82706E+11;2,93092E+11;3,53185E+11;4,68556E+11;6,30554E+11;7,72885E+11;8,98806E+11;1,19986E+12;8,44611E+11;1,04947E+12;1,35726E+12;1,52393E+12;1,50745E+12;1,42375E+12;1,04027E+12;9,5367E+11;1,09114E+12;1,2971E+12;1,25008E+12;9,31625E+11;1,28041E+12;1,79294E+12;1,70501E+12;
United Arab Emirates;ARE;;;;;;;;;;;;50787202178;54362695711;69538461538;93968596324;1,22071E+11;1,52434E+11;1,8669E+11;2,48808E+11;2,01959E+11;2,38328E+11;3,15868E+11;3,75514E+11;3,92245E+11;4,02728E+11;3,5853E+11;3,60626E+11;3,82138E+11;4,00218E+11;4,04863E+11;3,50277E+11;4,25156E+11;5,21897E+11;5,58402E+11;
Argentina;ARG;14643479947;14561091033;15095261860;16357317317;19385100000;24978532000;28381400000;30928400000;31137200000;27862300000;31223690400;31112418400;27736610298;33084505278;39266996606;46198180131;53550250227;65162321195;79762958392;65133480388;80208867996;97809980731;88655850854;80690471898;75818867911;63671789069;69842604407;72860557903;75766598613;80259482469;64053810078;87906118245;1,02816E+11;82369725073;97106594824
Armenia;ARM;789969495,8;843376623,4;506852687,7;567247615;517226106,2;351337833,4;371135639,1;332378719,9;359865213,1;383089746,9;423629630,5;511522177,8;661384145,8;855676348,1;1008274440;1338474938;1413899569;1674567003;1663675191;1268730266;1828759691;2284326940;2926877147;3153322766;3315721292;3137020863;3558717726;4405338883;4907543376;5631685778;3762799929;4983421998;9800654853;14319480483;19687315204
American Samoa;ASM;;;;;;;;;;;;;518000000;513000000;460000000;498000000;495000000;505000000;641000000;530000000;364000000;335000000;483000000;458000000;429000000;428000000;429000000;362000000;436000000;399000000;427000000;332000000;409000000;;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;1027285185;1016366667;1043081481;988692592,6;1037966667;1194092593;591277777,8;752377777,8;1021455556;;
Australia;AUS;47071479854;52248569798;54226800318;54747048904;58015219647;65793733294;75814054769;83327463879;78166587533;71285875423;80695888525;84096722017;82033782310;89138031450;1,05491E+11;1,26786E+11;1,48587E+11;1,7257E+11;2,12795E+11;2,13717E+11;2,27427E+11;2,99824E+11;3,32614E+11;3,15055E+11;3,09622E+11;2,71153E+11;2,32663E+11;2,81774E+11;3,12606E+11;3,36478E+11;3,19175E+11;3,43364E+11;4,31703E+11;4,63106E+11;4,32883E+11
Austria;AUT;59423123563;60116253388;64678673929;59900880161;65453948922;80827704381;81256726020;78792189649;83704906625;85506769077;85517700616;88123583855;97162434782;1,16896E+11;1,41285E+11;1,53683E+11;1,7097E+11;2,04559E+11;2,30063E+11;1,81625E+11;2,01089E+11;2,32888E+11;2,20969E+11;2,29883E+11;2,36189E+11;2,02662E+11;2,07329E+11;2,25413E+11;2,52098E+11;2,47609E+11;2,24423E+11;2,68837E+11;2,92324E+11;3,04271E+11;2,96937E+11
Azerbaijan;AZE;3896969697;2440000000;383311808,1;902385596,4;294957729;785309768;791860069,1;1150456356;1009304730;1281380721;2118053577;2368581267;2667039718;3056572037;4235083892;8336815027;13953852783;22516209779;32132494340;22870725059;28732245203;37215171600;36912727759;35905452997;32558931187;20060045053;17580756548;19839874968;25484215746;23629764706;15208764706;25487647059;47274117647;35487352941;34112882353
Burundi;BDI;89130244,37;115775316,4;94756920,93;88062144,15;95016968,85;129318804,2;50580560,2;95688945,65;71499425,91;61217971,47;55005758,53;45410971,28;38676370,9;50072047,44;63635537,87;69261012,79;92956380,73;92221560,19;169242769,2;117576044,1;197117146,9;196752237,6;226242999,9;222979901;235295491,8;199192399;168837908,9;164138992,7;151646759,8;133258587,1;120542434,1;138797984,7;165971200,7;139067146,4;
Belgium;BEL;1,26512E+11;1,2679E+11;1,38073E+11;1,26086E+11;1,43073E+11;1,73145E+11;1,7085E+11;1,63721E+11;1,65909E+11;1,66731E+11;1,71787E+11;1,69539E+11;1,83016E+11;2,19593E+11;2,61796E+11;2,8652E+11;3,13564E+11;3,68741E+11;4,18418E+11;3,32701E+11;3,65156E+11;4,23188E+11;3,98976E+11;4,13572E+11;4,27143E+11;3,59051E+11;3,77606E+11;4,1798E+11;4,53012E+11;4,45308E+11;4,19501E+11;5,36428E+11;5,65356E+11;5,42675E+11;5,26467E+11
Benin;BEN;375946888,9;417201321,4;393976833,8;510965440,1;452687270,1;593804003,9;625667798,5;616436708,5;665156777,4;846151104,6;725304886;728426333,7;827401656,4;997331579,8;1146038651;1213941697;1270214596;1800691336;2167074922;1940710263;2199999385;2229520238;2662421032;3451240666;4175438842;2815204783;3263416598;3455561018;3889962074;4264332527;3117343144;3700039684;3627155580;3935350520;4047363787
Burkina Faso;BFA;340110086,1;327535406,1;296949143,5;286407891,5;269161995,9;336477084,7;273232993,3;264654980,4;359254784,9;283164589,8;262543948,2;288539801,1;321134577,6;437119286,7;593230247,6;604914704,8;717391852,7;789151147,1;959257099;1303153838;2074074306;3164493996;3340989541;3640311287;3755133669;3089098213;3325889850;3731626301;4461756780;4690831780;5632452791;6460208897;5974448854;5866151263;6623364848
Bangladesh;BGD;1866929978;2062577031;2405649867;2990714286;3039700748;4122014925;4507555012;5075480094;5876850220;6028722962;6588073942;7227575982;6791241511;6876856649;7257329710;9999571015;11741089556;13530265640;16182047683;17359427993;18471882437;25621279024;26877564843;29306607470;32830579730;33831931004;36922447162;37655756193;40732047404;45992932855;39053880560;44386125442;59275206086;57551452001;47087839407
Bulgaria;BGR;6833181818;3316842815;4052954029;4138580851;4373776185;6141757604;5962695838;5610104532;6304226754;5829830705;4797546243;4947372830;5519181983;7277448748;10713332855;12703010483;16151246708;23261999930;28590187695;21963850651;25394223740;33909798231;32766248152;36039694836;36846181919;32381760372;34439814778;39636715495;43570441787;44050873992;39807550749;52185365603;63335730821;63368608161;62622308255
Bahrain;BHR;4887765691;3923935904;4009042287;4361702128;4520478723;4796010638;5364361436;5020744947;3994946809;5221808511;7176063830;6607446809;6956117021;7980851064;10336702128;13396808511;15662234043;17314361702;21231382979;15704787234;17880319149;28609308511;31409042553;34102925532;32069148936;25805319149;23918617021;26881914894;29959042553;29564361702;25249202128;35234574468;44581914894;40349468085;
Bahamas, The;BHS;1714730000;1585170000;1562180000;1606810000;1662790000;1699040000;1733680000;2335400000;2368200000;2801300000;3072900000;2834100000;3212800000;3176400000;3460500000;3812500000;3895000000;4257100000;4157100000;3412900000;3528800000;3769900000;4087400000;4175100000;4161900000;4241600000;3903100000;3948900000;4519000000;4644400000;2411900000;3366900000;5163900000;5774300000;5982200000
Bosnia and Herzegovina;BIH;;;;;194000000;381000000;658000000;1022025932;1124011007;1295466215;1218441301;1280121565;1286840345;1749751115;2288902820;2728982617;3378094597;4276282415;5131416811;4405139247;5100600106;5972861400;5572942367;6134185103;6307950242;5760366704;6146467331;7390002149;8600140617;8201251112;6913561099;10078259876;11851985074;12121807227;12136912441
Belarus;BLR;7991967871;6134969325;10127048426;11004262913;10641574225;6939556172;6839769231;8458551618;8988380663;7186245487;8815230366;8246546763;9286372926;11614414485;15709960838;18064972932;22199798560;27592401029;37020969856;24865004207;29401680706;48462076577;51745313006;44057927602;43300691503;32749844751;29831676604;36550879710;42294886946;41927532636;37444144984;49351137897;46516126576;47855354382;49423786393
Belize;BLZ;223500000;214500000;285500000;289500000;320500000;329000000;355000000;382500000;401000000;440500000;488000000;491000000;542500000;583000000;592000000;674000000;824000000;863000000;936000000;767000000;885500000;1039000000;1137500000;1140000000;1186500000;1131000000;1059500000;1128500000;1182500000;1238500000;770500000;1155500000;1516500000;1695725300;
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;3370007000;3316640000;3221785000;3337183000;3281476000;3325330000;3403730000;3466748000;3719872000;3841155000;3246335000;3491937000;3960723000;4309464000;5056800000
Bolivia;BOL;1108688419;1147697877;1131356484;1094224544;1295730954;1514364435;1670369478;1673170826;1673894695;1398593388;1534686673;1626035911;1710308633;2069153669;2731911668;3394535859;4783631931;5483635309;7487843217;6194300356;8093221340;10565767133;12774727337;13518462721;14285068712;10186598886;8311504863;9341206397;10470274255;10210442518;7425817974;11243140347;14351785311;11524078061;
Brazil;BRA;31556066667;29723863636;35668919611;38682712856;49978798948;57922124038;57235482141;61680024620;60723187855;57355149556;66777380518;69279555096;72546876638;84744257516;1,10739E+11;1,35919E+11;1,59214E+11;1,86203E+11;2,29517E+11;1,80892E+11;2,40003E+11;3,03017E+11;2,92808E+11;2,90364E+11;2,70458E+11;2,32489E+11;2,23863E+11;2,58331E+11;2,80543E+11;2,64563E+11;2,42872E+11;3,19251E+11;3,83178E+11;3,93732E+11;3,92614E+11
Barbados;BRB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;BRN;2175960383;2468235362;2421166297;2248434358;2087801582;2827057060;3065868297;2972105447;2044691629;2567616760;3743517639;3531476908;3588069785;4187448793;4978970766;6177687114;7607073552;7651436598;10502405645;7112433442;9239730724;12875904772;13364336606;12312003443;11656782738;6751297357;5651998520;6012333921;7045735066;7804888585;6886059826;11228855781;14411072072;11578413365;11488843570
Bhutan;BTN;80463907,22;80401687,89;80226226,61;74253380,05;79954759,62;114470385,4;112281787,5;131386622,5;124774096,7;130394708,9;129011858,8;125226723,1;128203231,9;158790865,8;218044359;313220132,2;488533694,4;657484027,3;613949836,7;565372359,2;673077626,3;750018031,7;706237987,7;727610629,7;714242546,6;689951582,8;639422100,8;737148272,6;754068443;860577748,4;689742274,7;808455596,6;739014454;855304391,5;
