Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;1141899441;1224022346;1321229050;1392737430;1458100559;1324284916;1316033520;1347128492;1432167598;1527994413;1816622905;1888111173;2005849162;2091921788;1906100559;1846245251;2233917877;2184788268;2328027933;2361241899;2162351955;2101055866;2203529050;2390329609;2448675978;1765708883;2234451006;2797735587;2971926872;
Africa Eastern and Southern;AFE;50689852913;54257850729;51114343950;51113123911;58737768212;71003870884;72332732104;75196560741;73195851197;68212265609;74257861661;69340869044;74052206131;92973454945;1,18869E+11;1,4475E+11;1,70494E+11;2,10839E+11;2,56523E+11;2,25856E+11;2,53998E+11;3,03789E+11;3,16073E+11;3,28907E+11;3,23653E+11;2,77693E+11;2,35707E+11;2,68996E+11;2,88714E+11;2,70016E+11;2,2641E+11;2,86E+11;3,57632E+11;3,42985E+11;3,5319E+11
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7241822542;5286118076;7901784706;8701650584;
Africa Western and Central;AFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;7370215354;8831519472;10645433209;15181987450;16320510961;26207262175;43286269730;44777840385;35682251333;43947410303;45919732962;47727897154;47096036033;29985009889;13320025154;17134965573;20293075111;12080150067;13399763094;17769653735;26412539213;22211258771;19627446976
Albania;ALB;487500000;314316659,7;627952433,9;764996711,8;773426124,2;809621698,5;1064684091;795639002;933614569,3;1097558438;1508343757;1771127115;2068787029;2591006000;3220867773;3853672282;4364190391;5867639980;6717539641;6004538202;5792187320;6700234561;5860879318;5999382666;6243003573;5070977325;5436220773;6070375897;6856194784;6926959713;5636282434;8016544326;9033376427;10320399921;11675880655
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;1,74635E+11;1,78929E+11;1,77021E+11;1,77747E+11;1,64394E+11;1,77665E+11;1,83016E+11;1,96016E+11;2,00266E+11;2,08475E+11;2,28448E+11;2,29204E+11;2,3657E+11;2,70286E+11;3,46775E+11;4,24861E+11;5,0405E+11;6,59466E+11;8,5072E+11;7,63006E+11;7,93196E+11;9,05877E+11;1,00874E+12;1,06567E+12;1,12174E+12;1,04346E+12;9,65621E+11;1,01198E+12;1,06095E+12;1,10032E+12;9,56789E+11;1,10009E+12;1,34763E+12;1,43711E+12;
United Arab Emirates;ARE;;;;;;;;;;;;42053369639;47845064670;57668073519;78428046290;93862491491;1,1293E+11;1,66134E+11;2,19714E+11;1,8714E+11;1,78611E+11;2,15973E+11;2,39749E+11;2,52509E+11;2,75111E+11;2,68999E+11;2,70715E+11;2,85337E+11;2,81536E+11;3,06004E+11;2,97228E+11;3,47529E+11;4,27992E+11;4,81852E+11;
Argentina;ARG;6546497152;11531201154;18606116034;22049649650;27299960000;26038017000;30148400000;37413700000;38667300000;32762700000;33070146000;27603881800;13065823829;18772898619;27736672324;34392237787;40480743016;52567536062;66316154417;48268743530;67937933972;88838309449;78013690407;81240190817;73691675720;70064879912;75639254068;89910495567;85681309473;65845624691;52454091268;73042905138;96814941605;89748037628;81217515280
