Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;130502793,3;184748603,4;-36983240,22;-17932960,89;-73184357,54;-5530726,257;85027932,96;197821229,1;113463687,2;467541899,4;-127932960,9;-266927374,3;332513966,5;159776536,3;-105698324;-207798005,9;220316139,7;-471005586,6;18882681,56;-10614525,14;186759776,5;488156424,6;-314692737,4;272088145,4;208344037,2;-26881396,99;27550827,1;162456842,3;144146269,4;-75226540,68;161066979,1;133545121,2;248150282,6;-137459364,9;103250590
Africa Eastern and Southern;AFE;88673056,91;1241968645;652324976,2;839514649;1187865944;2662960707;2087426670;5757032203;4121574276;6254804529;4315009017;12205013774;6464122720;8555151107;7979693795;10333881073;7234542924;16122287676;22483230617;18484263836;13934876540;17538712523;24636341951;21534247724;27691401151;28638672651;16660273393;10328975499;13594659429;14927298405;13221019154;54365050633;21129349025;22236146606;24756671641
Afghanistan;AFG;10;-280000;360000;-20000;20000;-93330;690000;-1460000;-10000;6040000;170000;680000;50000000;57800000;186900000;271000000;238000000;188690000;46033740;56107246,5;190774432;52173421;56823660;48311346;42975262,5;169146608;93591315,3;51533896,77;119435105,7;23404553,65;12970147,98;20600980;;;
Africa Western and Central;AFW;1073307826;837652713,9;1214631392;1757936789;2389930552;945428072,4;1182474447;1622432328;1897977345;2391058457;2560094796;3224338693;4408519418;5262166819;4653748706;9278129445;9202356524;13030657208;16317443291;18159745860;18874323021;24501138032;20912687296;19157553407;16598028192;16597546704;15648129980;17742426924;14887496087;12601244674;10863479466;17015842603;16452344473;20058100848;18762321652
Angola;AGO;-334800000;664500000;287956000;302100000;170300000;472427000;180559000;411660000;1113970000;2471460000;878620000;2145470000;1743504000;3576971780;2197227820;-1303836930;-37714860;-893342152;1678971010;2205298180;-3227211182;-3023770966;-1464627991;-7120017424;3657514667;10028215163;-179517618,9;-7397295409;-6456076413;-4098478748;-1866468113;-4355116553;-6598652652;-2119632186;-1109663097
Albania;ALB;;;20000000;58000000;53000000;70000000;90100000;47500000;45010000;41200000;143000000;207300000;135000000;178036400,7;341285112,5;262479012,6;325138316,8;652275603,7;1247181714;1345415234;1089898208;1048706682;917994575,8;1254150556;1149927986;989578334,8;1044389555;1022757857;1204383364;1201022154;1069744880;1218586452;1441381891;1620982551;1710279512
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;422216126,3;272687591,3;484821990,1;593981421,3;275778939,2;268353296
Arab World;ARB;3053835682;2123621591;3477597029;4331542881;4909888144;299885485,8;3662695409;8973444817;9641399376;2881569836;3840491008;8899597176;6159576366;14595559433;21373075481;38336974237;57164037968;63693369753;54801432358;40656588740;45647503423;33243608526;42932591403;35765830417;24540020180;21337111052;47085439652;30527077377;42865771096;34413431967;32410671974;68885397874;76984651612;88078631178;1,27009E+11
United Arab Emirates;ARE;-115820000;25940000;129720000;401320000;62460000;399850000;300520000;232430000;257660000;-985340000;-506330000;1183840000;95300000;4255956430;10003500000;10899931930;12805990470;14186521440;5062972000;1134288140;8796769640;7152095830;9566651350;9764914530;11071537020;8550901850;9604773000;10354223000;10385286000;17874660000;19884470000;20667120000;22736555480;30687542550;45631800000
Argentina;ARG;1836000000;2439000000;4430977523;2793085410;3634931878;5609423404;6948536687;9160272052;7290657132;23987696390;10418314339;2166136830;2148910000;1652010000;4124710000;5265250000;5537347786;6473157762;9725553130;4017158925;11332718626;10839930945;15323933917;9821661858;5065335542;11758994011;3260164342;11516861462;11716769819;6649187838;4884127676;6658049679;15206087397;24756887227;11644393816
Armenia;ARM;;;2400000;800000;8000000;25320000;17570000;51940000;232375000;122034000;104188500;69868500;110725325,6;122852992,7;247140608,5;292073220,2;466531991,9;667671562,1;943733059,5;760040745,9;529321391,6;653219756,5;496636701,1;346092394,4;406578406,7;184127986,3;333823945,5;252747990,7;266855048,8;100285081,6;58582750,12;366423010,8;975658909,3;580365079,3;131561668,1
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;60607407,41;54792592,59;19648148,15;15240740,74;24788888,89;31485185,19;19351851,85;22944444,44;22774074,07;51792533,33;96504370,16;145813879,5;92910942,69;120216017,6;104576495,7;123754285,4;288731522,1;346552079;153573370,7;83981325,73;93722574,32;69631054,05;124833151;92885388,56;46263101,05;114024660,1;97431976,47;151271628,2;202333092,3;133908540,4;96381781,11;289816410;313270088,9;327939063,7;270634323,3
