Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;;;;4,763160229;4,395269871;4,714680195;4,798980236;4,872200012;;4,356989861;4,623219967;;4,702549934;4,827300072;5,797399998;6,75109005;5,914669991;6,347290039;6,442959785;5,851280212;5,888269901;5,491360188;4,455819961;4,548763552;4,435036868;;3,618557556;;;
Africa Eastern and Southern;AFE;;;;;;;;;;3,887419939;3,606129885;4,341670036;;;3,74496007;3,858340025;3,735929966;;4,28008008;;4,024030089;4,639014523;4,676120043;4,637694464;4,659659863;4,737918689;4,691999912;4,430510044;4,739749908;4,511409844;4,090565422;4,368379481;3,697668021;3,962293044;
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;3,479449987;3,462009907;2,604199886;3,454459906;3,695219994;3,255800009;4,543970108;4,343190193;;;;;;;
Africa Western and Central;AFW;;;;;;;;;;2,345824957;2,463350058;2,365099907;2,349504948;2,355249882;2,245055079;2,447004914;2,558520079;;2,498270035;2,907900095;2,84803009;2,653369904;2,68840026;2,940209985;2,666670084;3,138829947;2,615035459;3,296629906;3,05125152;3,047399493;3,398740879;3,096926381;2,891687446;3,215620239;
Angola;AGO;;;;;;;;;2,567120075;;2,607530117;;;;;2,120110035;2,281460047;;;;3,421319962;;3,081910857;4,438949513;;3,486895804;2,754936646;2,466878811;2,183512989;2,073064382;2,667447337;2,297196895;2,385358984;2,512736633;
Albania;ALB;;;;;3,44698;3,814640045;3,083509922;3,37947011;3,536979914;3,592930079;3,430170059;3,458699942;3,117799997;3,138230085;3,227519989;3,281549931;3,191459894;3,275929928;;;;3,178813107;3,295339869;3,539299965;3,181777346;3,437969923;3,962090015;3,611720085;3,082013704;3,870189905;3,325040102;3,005559921;2,729769945;3,091530085;
Andorra;AND;;;;;;;;3,713279963;;;;;1,65971005;;1,544119954;1,644970059;2,244899988;2,104690075;2,873929977;3,142920017;2,976629972;2,98706007;2,565778955;2,506160021;3,074209929;3,28034997;3,237070084;3,217089891;3,246720076;3,15060997;2,632130466;2,381921736;2,647279978;1,898679972;
Arab World;ARB;;;;;;;;;;;;;;;4,6707201;;3,759979963;;4,22755003;;;;;;;;;;;3,424335003;3,768607407;;;;
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,860209942;3,984179974;3,894030094;;;
Argentina;ARG;1,067379951;;;;;;3,731980085;;4,039869785;4,521679878;4,580309868;4,833740234;4,017340183;3,535049915;3,486520052;3,860009909;4,128210068;4,462600231;4,844409943;5,531050205;5,019710064;5,290629864;5,345829964;5,436610222;5,361440182;5,776110172;5,545489788;5,454319954;4,877739906;4,771649837;5,276899815;4,653930187;4,792630196;5,897540237;
Armenia;ARM;;;;;;;1,848430037;;;2,235189915;2,772730112;2,469439983;2,135040045;2,145040035;2,486730099;2,712029934;2,715770006;3,018939972;3,172729969;3,840790033;3,249000072;3,143850088;2,772480011;2,650180101;2,247240067;2,80591011;2,75812006;2,707590103;2,113311805;2,159842398;2,705559969;2,767849922;2,491899967;2,438699961;
American Samoa;ASM;;;;;;;;;;;;;;;;;14,7170496;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;;;;;;;;2,525500059;;;3,079139948;;;;;;;2,222759962;;;2,130430259;2,359721431;2,304440938;1,99347553;2,171499315;2,28158315;2,269227084;3,357256534;3,005183046;2,508973932;2,503687556;3,105051618;
Australia;AUS;4,666830063;4,784739971;4,682759762;5,505579948;5,244820118;;;;;;;;;;;;;;;;;;;;;;;;;;5,386250019;5,341090202;5,059160233;;
